"name","counts","id","artistart","song_names_list"
"Brandy",8,"05oH07COxkXKIMt6mIPRee","https://i.scdn.co/image/ab6761610000e5ebb39417aaafb9c373e78594ef","1.Sittin' Up In My Room,2.Sittin' Up In My Room,3.Moesha (Season 1) - Opening Theme,4.The Boy Is Mine,5.Sittin' Up In My Room,6.""Do I Love You Because You're Beautiful"",7.Almost Doesn't Count,8.Almost Doesn't Count"
"Daniel Caesar",8,"20wkVLutqVOYrc0kxFs7rA","https://i.scdn.co/image/ab6761610000e5ebe5bc630548fb3517cf90edb8","1.Best Part,2.Get You,3.Best Part,4.Best Part,5.Best Part,6.Best Part,7.Best Part,8.Best Part"
"Encanto Cast",8,NA,"https://i.scdn.co/image/ab67616d0000b273e1ac646ed6f25125e2a77229","1.We Don't Talk About Bruno,2.We Don't Talk About Bruno,3.Surface Pressure,4.We Don't Talk About Bruno,5.Surface Pressure,6.Surface Pressure,7.We Don't Talk About Bruno,8.We Don't Talk About Bruno"
"Jazmine Sullivan",8,"7gSjFKpVmDgC2MMsnN8CYq","https://i.scdn.co/image/ab6761610000e5ebe85d25b9286d6815ddb0d82a","1.Bodies - Intro,2.Pick Up Your Feelings,3.On It,4.On It,5.Bust Your Windows,6.Excuse Me,7.Excuse Me,8.Let It Burn"
"Jhené Aiko",8,"5ZS223C6JyBfXasXxrRqOk","https://i.scdn.co/image/ab6761610000e5ebbc7ca5ae34cffbb572660ee3","1.While We're Young,2.I'll Kill You,3.Wading,4.stranger,5.While We're Young,6.Oblivion (Creation),7.P*$$Y Fairy (OTW),8.P*$$Y Fairy (OTW)"
"Ari Lennox",7,"1vaQ6v3pOFxAIrFoPrAcom","https://i.scdn.co/image/ab6761610000e5eb721a16a6caf059eeaf7c4ee1","1.On It,2.On It,3.Pressure,4.BMO,5.Pressure,6.Get Close,7.Liquor"
"Frankie Beverly",7,"6rXycobs8wkWicUGLtmB0n","https://i.scdn.co/image/f0351adb45404fc8ca9cc399a70e32f62db5e021","1.Before I Let Go,2.Before I Let Go,3.Before I Let Go,4.Before I Let Go,5.We Are One,6.We Are One,7.Before I Let Go"
"Glass Animals",7,"4yvcSjfu4PC0CYQyLy4wSq","https://i.scdn.co/image/ab6761610000e5ebeb2cc96b0ed023c5e3675b6f","1.Hot Sugar,2.Gooey,3.Hot Sugar,4.It's All So Incredibly Loud,5.Heat Waves - Slowed,6.Your Love (Déjà Vu),7.Waterfalls Coming Out Your Mouth"
"Maze",7,"3DvdryKH4O95ZnsUZJKXpt","https://i.scdn.co/image/7f93363a42998f6a6259b85b135893c0fc8278f0","1.Before I Let Go,2.Before I Let Go,3.Before I Let Go,4.Before I Let Go,5.We Are One,6.We Are One,7.Before I Let Go"
"Rihanna",7,"5pKCCKE2ajJHZ9KAiaK11H","https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789","1.Te Amo,2.Pour It Up,3.S&M,4.Wild Thoughts,5.Rude Boy,6.Farewell,7.LOYALTY"
